id,year,round,date,day,hometeam,awayteam,venue,timeslot,homegoals,homebehinds,hometotal,awaygoals,awaybehinds,awaytotal
8888,2024,10,2024-05-19 15:20:00,Sunday,Port Adelaide,Hawthorn,Adelaide Oval,D,11,14,80,12,7,79
8887,2024,10,2024-05-19 13:10:00,Sunday,Essendon,North Melbourne,Docklands,D,16,10,106,10,6,66
8886,2024,10,2024-05-18 19:30:00,Saturday,Brisbane Lions,Richmond,Gabba,N,26,7,163,6,8,44
8885,2024,10,2024-05-18 19:30:00,Saturday,St Kilda,Fremantle,Docklands,N,8,7,55,9,18,72
8884,2024,10,2024-05-18 16:35:00,Saturday,Greater Western Sydney,Western Bulldogs,Sydney Showground,T,6,7,43,8,22,70
8883,2024,10,2024-05-18 13:45:00,Saturday,Collingwood,Adelaide,M.C.G.,D,12,6,78,11,8,74
8882,2024,10,2024-05-17 19:40:00,Friday,Sydney,Carlton,S.C.G.,N,17,15,117,9,11,65
8881,2024,10,2024-05-16 19:30:00,Thursday,Gold Coast,Geelong,Marrara Oval,N,26,8,164,15,10,100
8880,2024,9,2024-05-12 16:00:00,Sunday,Adelaide,Brisbane Lions,Adelaide Oval,T,13,12,90,13,12,90
8879,2024,9,2024-05-12 13:00:00,Sunday,Collingwood,West Coast,Docklands,D,15,13,103,5,7,37
8878,2024,9,2024-05-11 19:30:00,Saturday,Gold Coast,North Melbourne,Marrara Oval,N,17,18,120,7,10,52
8877,2024,9,2024-05-11 19:30:00,Saturday,Richmond,Western Bulldogs,M.C.G.,N,6,6,42,19,19,133
8876,2024,9,2024-05-11 16:35:00,Saturday,Essendon,Greater Western Sydney,Docklands,T,12,10,82,9,8,62
8875,2024,9,2024-05-11 13:45:00,Saturday,Hawthorn,St Kilda,York Park,D,8,10,58,7,11,53
8874,2024,9,2024-05-10 20:30:00,Friday,Fremantle,Sydney,Perth Stadium,N,4,15,39,13,9,87
8873,2024,9,2024-05-10 19:10:00,Friday,Geelong,Port Adelaide,Kardinia Park,N,14,11,95,15,11,101
8872,2024,9,2024-05-09 19:30:00,Thursday,Carlton,Melbourne,M.C.G.,N,12,5,77,11,10,76
8871,2024,8,2024-05-05 19:10:00,Sunday,Brisbane Lions,Gold Coast,Gabba,N,10,19,79,6,9,45
8870,2024,8,2024-05-05 16:00:00,Sunday,Western Bulldogs,Hawthorn,Docklands,T,14,7,91,14,14,98
8869,2024,8,2024-05-05 13:00:00,Sunday,Richmond,Fremantle,M.C.G.,D,6,13,49,15,13,103
8868,2024,8,2024-05-04 20:10:00,Saturday,West Coast,Essendon,Perth Stadium,N,11,5,71,11,11,77
8867,2024,8,2024-05-04 19:30:00,Saturday,Melbourne,Geelong,M.C.G.,N,10,14,74,9,12,66
8866,2024,8,2024-05-04 16:35:00,Saturday,St Kilda,North Melbourne,Docklands,T,15,13,103,10,5,65
8865,2024,8,2024-05-04 13:45:00,Saturday,Sydney,Greater Western Sydney,S.C.G.,D,14,14,98,10,9,69
8864,2024,8,2024-05-03 19:40:00,Friday,Carlton,Collingwood,M.C.G.,N,12,7,79,12,13,85
8863,2024,8,2024-05-02 19:30:00,Thursday,Adelaide,Port Adelaide,Adelaide Oval,N,12,6,78,5,18,48
8862,2024,7,2024-04-28 16:00:00,Sunday,Hawthorn,Sydney,M.C.G.,T,5,12,42,18,10,118
8861,2024,7,2024-04-28 13:00:00,Sunday,Gold Coast,West Coast,Carrara,D,17,10,112,12,3,75
8860,2024,7,2024-04-27 19:40:00,Saturday,Fremantle,Western Bulldogs,Perth Stadium,T,14,11,95,10,11,71
8859,2024,7,2024-04-27 16:35:00,Saturday,Geelong,Carlton,M.C.G.,T,18,10,118,15,15,105
8858,2024,7,2024-04-27 13:45:00,Saturday,North Melbourne,Adelaide,Bellerive Oval,D,12,9,81,20,18,138
8857,2024,7,2024-04-26 19:40:00,Friday,Port Adelaide,St Kilda,Adelaide Oval,N,11,16,82,11,6,72
8856,2024,7,2024-04-25 19:35:00,Thursday,Greater Western Sydney,Brisbane Lions,Manuka Oval,N,17,11,113,8,11,59
8855,2024,7,2024-04-25 15:20:00,Thursday,Essendon,Collingwood,M.C.G.,D,12,13,85,12,13,85
8854,2024,7,2024-04-24 19:25:00,Wednesday,Richmond,Melbourne,M.C.G.,N,5,12,42,13,7,85
8853,2024,6,2024-04-21 16:05:00,Sunday,North Melbourne,Hawthorn,Docklands,T,10,8,68,17,11,113
8852,2024,6,2024-04-21 13:05:00,Sunday,Sydney,Gold Coast,S.C.G.,D,17,8,110,8,9,57
8851,2024,6,2024-04-20 20:10:00,Saturday,West Coast,Fremantle,Perth Stadium,N,16,9,105,10,8,68
8850,2024,6,2024-04-20 19:30:00,Saturday,Brisbane Lions,Geelong,Gabba,N,4,13,37,9,9,63
8849,2024,6,2024-04-20 16:35:00,Saturday,Carlton,Greater Western Sydney,Docklands,T,17,15,117,15,8,98
8848,2024,6,2024-04-20 13:45:00,Saturday,Collingwood,Port Adelaide,M.C.G.,D,17,21,123,12,9,81
8847,2024,6,2024-04-19 19:40:00,Friday,Adelaide,Essendon,Adelaide Oval,N,11,9,75,10,18,78
8846,2024,6,2024-04-18 19:30:00,Thursday,St Kilda,Western Bulldogs,Docklands,N,9,10,64,19,10,124
8845,2024,5,2024-04-14 16:00:00,Sunday,West Coast,Richmond,Perth Stadium,D,16,13,109,10,10,70
8844,2024,5,2024-04-14 13:00:00,Sunday,Geelong,North Melbourne,Kardinia Park,D,21,13,139,10,4,64
8843,2024,5,2024-04-13 19:30:00,Saturday,Port Adelaide,Fremantle,Adelaide Oval,N,9,12,66,9,9,63
8842,2024,5,2024-04-13 19:30:00,Saturday,Gold Coast,Hawthorn,Carrara,N,16,13,109,8,8,56
8841,2024,5,2024-04-13 16:35:00,Saturday,Carlton,Adelaide,Docklands,T,14,14,98,16,4,100
8840,2024,5,2024-04-13 13:45:00,Saturday,Greater Western Sydney,St Kilda,Manuka Oval,D,11,14,80,12,7,79
8839,2024,5,2024-04-12 19:40:00,Friday,Western Bulldogs,Essendon,Docklands,N,9,13,67,15,6,96
8838,2024,5,2024-04-11 19:30:00,Thursday,Melbourne,Brisbane Lions,M.C.G.,N,8,12,60,12,10,82
8837,2024,4,2024-04-07 17:10:00,Sunday,Collingwood,Hawthorn,Adelaide Oval,T,11,11,77,11,6,72
